"rok","hodnota","jednotka","druh_vydaje","slozka_ochrany_zp","dotovana_cinnost"
1997,"85042860","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1997,,"Kč","běžné ","Ochrana vody","Prevence znečišťování vody"
1997,"0","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1997,"144264320","Kč","běžné ","Ochrana vody","Úprava drobných vodních toků"
1997,"368374500","Kč","běžné ","Ochrana ovzduší","Programy zateplování a úspor energie"
1997,,"Kč","běžné ","Ochrana ovzduší","Odstraňování tuhých emisí"
1997,,"Kč","běžné ","Ochrana ovzduší","Odstraňování plynných emisí"
1997,,"Kč","běžné ","Ochrana ovzduší","Změny technologií vytápění"
1997,,"Kč","běžné ","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1997,"0","Kč","běžné ","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
1997,"0","Kč","běžné ","Ochrana ovzduší","Monitoring ochrany ovzduší"
1997,"19927240","Kč","běžné ","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1997,"0","Kč","běžné ","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1997,"39884190","Kč","běžné ","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1997,"28636130","Kč","běžné ","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1997,"0","Kč","běžné ","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1997,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1997,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1997,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1997,"0","Kč","běžné ","Nakládání s odpady","Prevence vzniku odpadů"
1997,"0","Kč","běžné ","Nakládání s odpady","Monitoring nakládání s odpady"
1997,"36995030","Kč","běžné ","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1997,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Protierozní ochrana"
1997,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1997,"126316270","Kč","běžné ","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1997,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1997,"1442150","Kč","běžné ","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1997,"231676610","Kč","běžné ","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1997,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1997,"45000000","Kč","běžné ","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1997,"352476590","Kč","běžné ","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1997,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1997,"119554000","Kč","běžné ","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1997,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1997,"145511340","Kč","běžné ","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1997,,"Kč","běžné ","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1997,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1997,,"Kč","běžné ","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1997,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1997,"26790880","Kč","běžné ","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1997,"268132170","Kč","běžné ","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1997,"122765020","Kč","běžné ","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1997,"0","Kč","běžné ","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1997,"76216360","Kč","běžné ","Výzkum životního prostředí","Výzkum životního prostředí"
1997,"30954910","Kč","běžné ","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1997,"18341350","Kč","běžné ","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1997,"72610950","Kč","běžné ","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1997,"87355410","Kč","běžné ","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1997,"604065850","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1997,"0","Kč","kapitálové","Ochrana vody","Prevence znečišťování vody"
1997,"0","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1997,"23492850","Kč","kapitálové","Ochrana vody","Úprava drobných vodních toků"
1997,"330000","Kč","kapitálové","Ochrana ovzduší","Programy zateplování a úspor energie"
1997,,"Kč","kapitálové","Ochrana ovzduší","Odstraňování tuhých emisí"
1997,,"Kč","kapitálové","Ochrana ovzduší","Odstraňování plynných emisí"
1997,"101152010","Kč","kapitálové","Ochrana ovzduší","Změny technologií vytápění"
1997,,"Kč","kapitálové","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1997,,"Kč","kapitálové","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
1997,"0","Kč","kapitálové","Ochrana ovzduší","Monitoring ochrany ovzduší"
1997,"265150170","Kč","kapitálové","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1997,,"Kč","kapitálové","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1997,"0","Kč","kapitálové","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1997,,"Kč","kapitálové","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1997,,"Kč","kapitálové","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1997,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1997,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1997,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1997,,"Kč","kapitálové","Nakládání s odpady","Prevence vzniku odpadů"
1997,,"Kč","kapitálové","Nakládání s odpady","Monitoring nakládání s odpady"
1997,"39567310","Kč","kapitálové","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1997,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Protierozní ochrana"
1997,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1997,"24489630","Kč","kapitálové","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1997,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1997,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1997,"145977000","Kč","kapitálové","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1997,"213747100","Kč","kapitálové","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1997,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1997,"168707570","Kč","kapitálové","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1997,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1997,"2000000","Kč","kapitálové","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1997,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1997,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1997,"2205630","Kč","kapitálové","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1997,"78080000","Kč","kapitálové","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1997,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1997,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1997,"8579400","Kč","kapitálové","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1997,"14379670","Kč","kapitálové","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1997,"31098620","Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1997,,"Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1997,"12130000","Kč","kapitálové","Výzkum životního prostředí","Výzkum životního prostředí"
1997,,"Kč","kapitálové","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1997,"0","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1997,"115000000","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1997,"102534570","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1998,"96002830","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1998,"0","Kč","běžné ","Ochrana vody","Prevence znečišťování vody"
1998,"0","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1998,"198303790","Kč","běžné ","Ochrana vody","Úprava drobných vodních toků"
1998,"51698000","Kč","běžné ","Ochrana ovzduší","Programy zateplování a úspor energie"
1998,,"Kč","běžné ","Ochrana ovzduší","Odstraňování tuhých emisí"
1998,,"Kč","běžné ","Ochrana ovzduší","Odstraňování plynných emisí"
1998,,"Kč","běžné ","Ochrana ovzduší","Změny technologií vytápění"
1998,,"Kč","běžné ","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1998,"0","Kč","běžné ","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
1998,"0","Kč","běžné ","Ochrana ovzduší","Monitoring ochrany ovzduší"
1998,"1324670","Kč","běžné ","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1998,"0","Kč","běžné ","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1998,"47861780","Kč","běžné ","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1998,"39486220","Kč","běžné ","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1998,"866370","Kč","běžné ","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Prevence vzniku odpadů"
1998,"0","Kč","běžné ","Nakládání s odpady","Monitoring nakládání s odpady"
1998,"49379180","Kč","běžné ","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1998,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Protierozní ochrana"
1998,"1284650","Kč","běžné ","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1998,"88075950","Kč","běžné ","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1998,"0","Kč","běžné ","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1998,"62183160","Kč","běžné ","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1998,"250727440","Kč","běžné ","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1998,"4009660","Kč","běžné ","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1998,"55000000","Kč","běžné ","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1998,"335138800","Kč","běžné ","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1998,"189000000","Kč","běžné ","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1998,"93000000","Kč","běžné ","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1998,"0","Kč","běžné ","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1998,"172719630","Kč","běžné ","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1998,,"Kč","běžné ","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1998,"630500","Kč","běžné ","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1998,,"Kč","běžné ","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1998,"0","Kč","běžné ","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1998,"25161730","Kč","běžné ","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1998,"279401800","Kč","běžné ","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1998,"130792980","Kč","běžné ","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1998,"0","Kč","běžné ","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1998,"71111270","Kč","běžné ","Výzkum životního prostředí","Výzkum životního prostředí"
1998,"27749820","Kč","běžné ","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1998,"18207210","Kč","běžné ","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1998,"87225000","Kč","běžné ","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1998,"152054860","Kč","běžné ","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1998,"370754950","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1998,"0","Kč","kapitálové","Ochrana vody","Prevence znečišťování vody"
1998,"0","Kč","kapitálové","Ochrana vody","Odvádění a čištění odpadních vod  j.n."
1998,"237282490","Kč","kapitálové","Ochrana vody","Úprava drobných vodních toků"
1998,"284810010","Kč","kapitálové","Ochrana ovzduší","Programy zateplování a úspor energie"
1998,,"Kč","kapitálové","Ochrana ovzduší","Odstraňování tuhých emisí"
1998,,"Kč","kapitálové","Ochrana ovzduší","Odstraňování plynných emisí"
1998,"87801450","Kč","kapitálové","Ochrana ovzduší","Změny technologií vytápění"
1998,,"Kč","kapitálové","Ochrana ovzduší","Opatření ke snižování produkce skleníkových plynů"
1998,,"Kč","kapitálové","Ochrana ovzduší","Změny výrobních technologií za účelem odstranění emisí"
1998,"0","Kč","kapitálové","Ochrana ovzduší","Monitoring ochrany ovzduší"
1998,"0","Kč","kapitálové","Ochrana ovzduší","Ostatní činnosti k ochraně ovzduší j.n."
1998,,"Kč","kapitálové","Nakládání s odpady","Sběr a zpracování druhotných surovin"
1998,"0","Kč","kapitálové","Nakládání s odpady","Sběr a svoz nebezpečných odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Sběr a svoz komunálních odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Sběr a svoz ostatních odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování nebezpečných odpadů"
1998,"1200000","Kč","kapitálové","Nakládání s odpady","Využívání a zneškodňování komunálních odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Využívání a zneškodnování ostatních odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Prevence vzniku odpadů"
1998,,"Kč","kapitálové","Nakládání s odpady","Monitoring nakládání s odpady"
1998,"37055340","Kč","kapitálové","Nakládání s odpady","Ostatní nakládání s odpady j.n."
1998,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Protierozní ochrana"
1998,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Ochrana půdy a podzemní vody proti znečišťujícím infiltracím"
1998,"53575160","Kč","kapitálové","Ochrana půdy a podzemní vody","Dekontaminace půd a čištění podzemní vody"
1998,,"Kč","kapitálové","Ochrana půdy a podzemní vody","Monitoring půdy a podzemní vody"
1998,"0","Kč","kapitálové","Ochrana půdy a podzemní vody","Ostatní ochrana půdy a podzemní vody j.n."
1998,"214764980","Kč","kapitálové","Ochrana biodiverzity a krajiny","Celospolečenské funkce lesů"
1998,"339111470","Kč","kapitálové","Ochrana biodiverzity a krajiny","Revitalizace říčních systémů"
1998,"1500000","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ochrana druhů a stanovišť"
1998,"144127490","Kč","kapitálové","Ochrana biodiverzity a krajiny","Chráněné části přírody"
1998,"29993490","Kč","kapitálové","Ochrana biodiverzity a krajiny","Rekultivace půdy v důsledku těžební a důlní činnosti"
1998,"85204000","Kč","kapitálové","Ochrana biodiverzity a krajiny","Protierozní, protilavinová a protipožární ochrana"
1998,,"Kč","kapitálové","Ochrana biodiverzity a krajiny","Péče o vzhled obcí a veřejnou zeleň"
1998,"0","Kč","kapitálové","Ochrana biodiverzity a krajiny","Ostatní činnosti k ochraně přírody a krajiny j.n."
1998,"366720","Kč","kapitálové","Redukce působení fyzikálních faktorů","Konstrukce a uplatnění protihlukových zařízení"
1998,"76617000","Kč","kapitálové","Redukce působení fyzikálních faktorů","Protiradonová opatření"
1998,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Přeprava a nakládání s vysoce radioaktivním odpadem"
1998,,"Kč","kapitálové","Redukce působení fyzikálních faktorů","Monitoring k zajišťování úrovně fyzikálních faktorů"
1998,"10745830","Kč","kapitálové","Redukce působení fyzikálních faktorů","Ostatní činnosti k redukci fyzikálních vlivů"
1998,"41161440","Kč","kapitálové","Správa v ochraně životního prostředí","Ústřední státní správa v ochraně životního prostředí"
1998,"44026900","Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní orgány státní správy v ochraně životního prostředí"
1998,,"Kč","kapitálové","Správa v ochraně životního prostředí","Ostatní správa v ekologii"
1998,"21490000","Kč","kapitálové","Výzkum životního prostředí","Výzkum životního prostředí"
1998,,"Kč","kapitálové","Ostatní činnosti v ekologii","Mezinárodní spolupráce v životním prostředí"
1998,"0","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologická výchova a osvěta"
1998,"117957800","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické programy v dopravě"
1998,"4500000","Kč","kapitálové","Ostatní činnosti v ekologii","Ekologické záležitosti a programy j.n."
1999,"128580770","Kč","běžné ","Ochrana vody","Odvádění a čištění odpadních vod, kaly"
1999,"0","Kč","běžné ","Ochrana vody","Prevence znečišťování vody"
